Subject,Loc,LocO,Iteration,Sfe,Saa,Scpr,Scde,Tfe,Tb,BSH_MAV,TLAH_MAV,TLH_MAV,DA_MAV,DM_MAV,DP_MAV,BLH_RMS,BSH_ZC,BLH_ZC,TLAH_ZC,TLH_ZC,DA_ZC,DM_ZC,DP_ZC,BSH_SC,BLH_SC,DA_SC,DP_SC,Efe,dSfe,dSaa,dScpr,dTfe,dTb
10,0,5,13,10.41927041,8.807801749,0.005604222,-0.000179833,16.01686613,0.291038466,4.68E-05,6.16E-06,3.93E-06,1.37E-05,7.70E-06,2.93E-06,3.82E-05,23,21,28,32,23,28,34,38,33,58,82,38.06891555,33.99892124,2.179144592,0.022624946,1.053092204,3.372788313
10,0,5,13,15.48799726,8.920706218,0.008117217,-0.001079222,15.96559447,0.707040681,3.63E-05,5.66E-06,3.21E-06,1.52E-05,1.02E-05,2.51E-06,3.44E-05,28,24,32,31,23,29,40,43,43,64,81,47.85716238,65.10001105,0.400167752,0.025892039,-1.60311098,4.199877847
10,0,5,13,24.11639514,8.944584273,0.010243356,-0.002021611,15.73683815,1.100536453,2.17E-05,5.97E-06,3.22E-06,2.09E-05,1.34E-05,2.29E-06,3.21E-05,35,21,32,43,28,25,46,56,48,58,91,55.51342629,97.02101043,0.102010022,0.015681256,-2.371572248,3.170303271
10,0,5,13,33.90714608,9.100794943,0.010923944,-0.002436722,15.51641633,1.261398797,1.35E-05,6.63E-06,3.27E-06,2.10E-05,1.42E-05,2.82E-06,2.65E-05,38,23,28,46,34,27,50,55,54,63,85,57.71324354,91.85977462,3.294836162,-0.000514126,-2.076014275,0.553304258
10,0,5,13,41.018645,9.913892968,0.010159361,-0.002531167,15.35553993,1.155638948,1.97E-05,8.64E-06,4.14E-06,2.78E-05,1.63E-05,4.00E-06,3.30E-05,31,21,29,35,35,30,39,43,50,62,80,56.13636248,55.42115295,9.853085648,-0.0088584,-2.204114595,-1.647610717
10,0,5,13,45.00926805,10.99270929,0.009470689,-0.002611889,15.15499777,1.019740622,2.42E-05,9.08E-06,4.97E-06,3.06E-05,1.98E-05,4.23E-06,3.66E-05,22,20,26,32,36,30,37,43,45,56,78,54.27875991,30.7095117,9.991390477,-0.004615284,-1.617158641,-1.106382968
10,0,5,13,47.18433506,11.51275961,0.00921105,-0.002685333,14.99860242,0.936042276,2.00E-05,8.55E-06,4.74E-06,2.32E-05,2.30E-05,3.65E-06,3.31E-05,28,28,22,26,38,31,43,48,46,58,78,52.87371185,17.00636847,3.960017333,-0.004245447,-0.988929688,-0.801693686
10,0,5,76,6.401092437,6.159647489,-0.005884017,0.000482,17.4397222,0.044643453,3.29E-05,4.87E-06,2.53E-06,1.78E-05,7.57E-06,2.80E-06,3.35E-05,25,20,27,38,29,27,35,52,29,50,85,30.87729257,36.12607053,6.804905346,-0.021179551,9.215149803,0.933001838
10,0,5,76,12.07845973,6.708002219,-0.007108706,0.000989167,18.24023709,0.174826731,2.88E-05,5.10E-06,2.69E-06,2.06E-05,1.01E-05,2.89E-06,3.20E-05,30,20,33,38,31,25,33,54,36,48,84,34.60973729,76.09663456,5.438509333,-0.007499819,6.87934397,1.383844191
10,0,5,76,21.35934638,7.262206149,-0.008072861,0.0014085,18.70416723,0.212121273,2.21E-05,5.39E-06,3.13E-06,2.08E-05,1.43E-05,2.74E-06,2.42E-05,31,21,32,34,32,22,35,46,49,43,89,39.8216981,100.4275387,4.939357355,-0.014406694,2.536134767,-0.856528985
10,0,5,76,31.46574041,7.886222588,-0.010709783,0.002020056,18.73782217,0.255655165,1.94E-05,6.12E-06,3.55E-06,2.05E-05,1.83E-05,2.77E-06,2.40E-05,24,21,28,34,29,22,41,45,49,53,87,44.53758243,95.53364099,7.506572057,-0.034985029,-1.351657539,2.038876354
10,0,5,76,39.54808183,8.756124404,-0.014338117,0.003013333,18.48242148,0.662760047,1.70E-05,7.48E-06,3.83E-06,2.03E-05,1.84E-05,3.13E-06,2.76E-05,25,24,28,39,31,34,42,48,40,61,79,47.4909449,66.72122984,9.648285871,-0.036174415,-2.953404903,5.527763724
10,0,5,76,44.88697087,9.868817688,-0.017497283,0.003803278,18.31040035,1.154435731,1.79E-05,8.36E-06,3.90E-06,3.01E-05,2.12E-05,3.91E-06,3.07E-05,27,25,27,41,30,39,40,52,48,59,77,48.95798292,42.53291134,11.16998793,-0.026664977,-0.834497885,3.854059249
10,0,5,76,48.14999527,10.76237945,-0.0195814,0.004141333,18.29058763,1.474658093,2.05E-05,9.90E-06,4.83E-06,3.36E-05,2.01E-05,3.91E-06,3.40E-05,27,23,25,34,26,37,41,50,48,52,91,49.97125066,26.10192588,6.251967129,-0.014612306,0.232558175,2.689735738
10,0,5,76,49.80200804,10.89629347,-0.019942011,0.004345,18.27702643,1.643284865,2.19E-05,1.09E-05,5.61E-06,3.19E-05,1.82E-05,4.06E-06,3.36E-05,26,24,24,26,27,33,45,50,46,46,97,51.49114462,10.53801403,-1.607850105,0.004626997,-0.165822815,1.092422559
