Real_Goal,Time,Cost,Prob,Results
2,137850597,100/65/50/,0.17693468429942596/0.3514456790878004/0.4716196366127737/,2/
2,148294804,289/141/50/,0.00783341652405513/0.14264507283597644/0.8495215106399685/,2/
2,136110048,972/425/50/,1.4072097700750261E-8/6.402949102123144E-4/0.9993596910176901/,2/
0,144577123,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
0,158555572,52/52/61/,0.3516391996122956/0.3516391996122956/0.29672160077540877/,0/1/
0,145552902,52/52/80/,0.3861592289126002/0.3861592289126002/0.2276815421747997/,0/1/
0,140321552,62/57/201/,0.45849199891280173/0.4997708720666182/0.04173712902058003/,0/1/
0,148375719,58/81/648/,0.5962257575589283/0.4037471738335561/2.706860751575969E-5/,0/
1,127211456,51/51/51/,0.3333333333333333/0.3333333333333333/0.3333333333333333/,0/1/2/
1,129371271,70/70/50/,0.28734229518342175/0.28734229518342175/0.42531540963315645/,2/
1,145765125,100/55/50/,0.1644174247254548/0.39732771072462925/0.4382548645499159/,1/2/
1,136336664,163/55/57/,0.06888009017061421/0.47387264198052115/0.4572472678488646/,1/2/
1,151909870,528/68/61/,2.827834910615001E-4/0.4716707201446719/0.5280464963642667/,2/
2,133948200,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
2,137825512,56/51/50/,0.3098034441152148/0.34171506988574796/0.34848148599903733/,1/2/
2,145955699,93/59/50/,0.18970366430237165/0.369492284674538/0.44080405102309034/,2/
2,146221989,247/57/56/,0.01737336539466694/0.4870036618988445/0.49562297270648864/,1/2/
2,146892746,784/58/56/,1.4445849988595416E-6/0.4912282604046742/0.5087702950103269/,1/2/
0,136833185,50/51/51/,0.3377047775179629/0.33114761124101855/0.33114761124101855/,0/1/2/
0,134235652,50/56/70/,0.38992315433434105/0.3466454919598828/0.2634313537057762/,0/
0,145533198,50/68/100/,0.4812823356904381/0.3381578836866115/0.18055978062295044/,0/
0,138074335,50/93/163/,0.6495881748722205/0.27955563651182275/0.07085618861595673/,0/
0,139110528,50/64/528/,0.5681722689641956/0.4317794214056654/4.830963013888703E-5/,0/
1,133914441,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
1,141261836,50/54/61/,0.3662260975848342/0.33860001807667717/0.2951738843384885/,0/1/
1,191238189,70/54/120/,0.36489248331455465/0.48809586675928057/0.14701164992616475/,1/
1,150978623,65/66/357/,0.5007646732558056/0.4932345203907919/0.006000806353402432/,0/1/
1,151098367,60/61/1177/,0.5040982660393456/0.4959017283379859/5.622668478734538E-9/,0/1/
2,134014150,51/50/50/,0.32899036670303383/0.33550481664848303/0.33550481664848303/,0/1/2/
2,141727685,50/61/50/,0.3563806961381494/0.28723860772370124/0.3563806961381494/,0/2/
2,142378063,70/120/50/,0.35022174701239456/0.13139057289361625/0.5183876800939893/,2/
2,140537819,161/357/50/,0.10166150159186467/0.0021782274020871037/0.8961602710060482/,2/
2,139530810,494/1177/50/,1.6558134915138368E-4/2.528550260515862E-10/0.9998344183979936/,2/
