Obs,Real_Goal,STime,Cost,Prob,Results
3,0,131582830/16807513/7767434/,54/54/70/,0.3639561637015516/0.3639561637015516/0.27208767259689687/,0/1/
5,0,144406349/19046728/7256050/,62/90/60/,0.37520141043029703/0.23709160437922588/0.3877069851904771/,0/2/
6,0,142261108/19869556/7316447/,58/62/60/,0.34469442516107407/0.32209988206906187/0.3332056927698641/,0/1/2/
1,1,123098403/18603694/14532304/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
3,1,166231505/26265490/19978234/,52/53/52/,0.3354231356896564/0.3291537286206871/0.3354231356896564/,0/1/2/
4,1,142906006/17949807/8445007/,59/60/52/,0.32025585579248855/0.3142699409507587/0.3654742032567528/,2/
6,1,154926696/18989441/8939758/,107/110/52/,0.20974091761017882/0.19819854282009364/0.5920605395697276/,2/
8,1,144958353/17459088/12349227/,67/68/52/,0.3022573337284385/0.296607829973044/0.4011348362985175/,2/
1,2,126538051/21857779/10902037/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
3,2,127132296/18823997/18225080/,61/50/56/,0.2990681830323647/0.37105780489079804/0.32987401207683725/,1/
4,2,129683718/16525415/13158183/,80/56/68/,0.266106636450975/0.40543061490518184/0.32846274864384317/,1/
5,2,139094439/22030985/12341508/,120/50/93/,0.15052696461829987/0.5938883000628253/0.2555847353188749/,1/
7,2,145040996/11138208/17978010/,67/55/66/,0.3070315632539259/0.38040492157815947/0.3125635151679146/,1/
2,0,126750009/18055307/18683873/,53/51/51/,0.3248418044242478/0.3375790977878761/0.3375790977878761/,0/1/2/
4,0,128506784/23781280/14332598/,55/57/55/,0.3372776897429669/0.3254446205140662/0.3372776897429669/,0/1/2/
6,0,144301884/17678803/21132776/,86/104/86/,0.3554792447699576/0.2890415104600846/0.3554792447699576/,0/2/
8,0,131829515/19232156/22687735/,66/62/66/,0.3262056284614298/0.3475887430771403/0.3262056284614298/,0/1/2/
11,0,140793961/23575563/27702475/,90/81/133/,0.3692868527138992/0.41212628452795513/0.21858686275814562/,1/
1,1,131325699/18658846/12524574/,51/51/50/,0.33114761124101855/0.33114761124101855/0.3377047775179629/,0/1/2/
3,1,130388285/20985716/12109891/,53/70/52/,0.3643454122116495/0.2643694707997317/0.3712851169886189/,0/2/
4,1,129381046/18025785/16316608/,54/100/59/,0.42618770825408414/0.18465999006841566/0.3891523016775001/,0/2/
6,1,132428163/22989007/16558259/,59/57/107/,0.40450010045199625/0.4186916555723239/0.17680824397567985/,0/1/
8,1,134101250/21970585/13715963/,59/64/55/,0.3346019591306621/0.30602167396416596/0.35937636690517194/,0/2/
1,2,127000851/13378589/11228895/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
3,2,141026275/16803614/13206107/,61/54/52/,0.3006365370882839/0.3430847457584157/0.35627871715330034/,1/2/
4,2,135661281/20139671/15810734/,55/65/59/,0.3613334101401992/0.3022425006147332/0.33642408924506756/,0/2/
5,2,130022930/19324180/11727906/,65/53/74/,0.3230672684763298/0.40346219284812734/0.2734705386755428/,1/
7,2,127712264/20286823/16118627/,60/59/67/,0.34403416022764843/0.34981611198859414/0.3061497277837573/,0/1/
1,0,119257441/14578710/16421136/,50/50/50/,0.33333333333333337/0.33333333333333337/0.33333333333333337/,0/1/2/
3,0,136271122/19672731/17620444/,51/61/52/,0.3563784343944513/0.29403108466502037/0.34959048094052825/,0/2/
