Obs,Real_Goal,STime,Cost,Prob,Results
2,2,144264043/35579587/10008733/,56/50/50/,0.3077212739289003/0.3461393630355498/0.3461393630355498/,1/2/
5,2,198718580/56939400/14201146/,74/54/54/,0.25792460323699573/0.3710376983815022/0.3710376983815022/,1/2/
8,2,199685949/49253492/13388996/,293/54/54/,0.006441050637362203/0.49677947468131894/0.49677947468131894/,1/2/
12,2,209228849/67566636/10677280/,2894/65/54/,2.064637431678683E-23/0.45016600268752216/0.549833997312478/,2/
16,2,172554036/57523845/7337716/,25739/419/54/,1.5272411666628368E-203/0.0013100701868677502/0.9986899298131323/,2/
2,0,111225151/28492275/9385724/,50/50/53/,0.3398039776495762/0.3398039776495762/0.32039204470084753/,0/1/2/
4,0,148184233/28971427/12993363/,50/53/53/,0.3465308105078227/0.3267345947460887/0.3267345947460887/,0/1/2/
6,0,112634289/24064911/10400172/,50/53/81/,0.4020266628923562/0.3790601435547999/0.21891319355284386/,0/1/
8,0,135109801/32420990/10736192/,50/53/196/,0.5000037721940325/0.47144012862788404/0.02855609917808345/,0/1/
11,0,146434362/35896144/12041537/,50/71/1058/,0.6015109456897936/0.3984890527415031/1.5687033841655785E-9/,0/
2,1,138460055/33650470/11917409/,53/51/50/,0.3225200078952674/0.3354191220955758/0.34206087000915686/,0/1/2/
6,1,123988437/28334261/9844047/,107/146/141/,0.4120609254601255/0.28716590203938747/0.3007731725004869/,0/
10,1,104673757/31757038/10141215/,82/1408/1382/,0.9999997270327725/1.152797691900789E-7/1.5768745823934586E-7/,0/
14,1,120687429/32317494/8780128/,465/360/13284/,0.42779364979379897/0.5722063502062008/1.6202036816186446E-16/,1/
20,1,126903903/34654320/8709273/,139/141/305973/,0.503571367834087/0.4964286321659131/0.0/,0/1/
2,2,107544068/24156842/10170446/,53/50/50/,0.32039204470084753/0.3398039776495762/0.3398039776495762/,0/1/2/
4,2,137806793/40928164/46065051/,80/65/53/,0.2519580885604092/0.3326332515050976/0.4154086599344933/,2/
6,2,103494246/40989435/10903719/,201/141/53/,0.051187045593511775/0.15549251499664687/0.7933204394098414/,2/
8,2,108438070/40877004/9003324/,648/81/53/,1.0276462011120806E-5/0.3731948836466516/0.6267948398913372/,2/
11,2,107582623/39750036/7876682/,3798/126/53/,6.038516811621911E-31/0.20556778158914557/0.7944322184108544/,2/
2,0,116603112/23836541/10941794/,53/50/51/,0.3225200078952674/0.34206087000915686/0.3354191220955758/,0/1/2/
4,0,118816765/38420623/9388345/,80/53/54/,0.23434616636596922/0.38637150919460445/0.3792823244394264/,1/2/
6,0,115431867/33904244/11436584/,54/63/83/,0.40995986699470016/0.34807671674381824/0.2419634162614816/,0/
8,0,113031397/41683796/12075608/,54/66/201/,0.5338906116992819/0.4292369737529219/0.036872414547796294/,0/
11,0,106824247/43194811/12526965/,54/90/1075/,0.6580340344421514/0.34196595985405875/5.703789898625567E-9/,0/
2,1,108514734/43527195/12075565/,51/50/51/,0.33114761124101855/0.3377047775179629/0.33114761124101855/,0/1/2/
